time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-24T11:56:58.390Z,19.638833333333,-65.314166666667,21.15,3.43,md,14,252,1.324,0.26,pr,pr71466648,2024-11-24T12:41:05.590Z,"145 km NNE of Vieques, Puerto Rico",earthquake,1.03,22.92,0.10791407799843,10,reviewed,pr,pr
2024-11-24T11:27:54.778Z,57.4416,-153.5456,5.6,2.7,ml,,,,0.57,ak,ak024f4aiuol,2024-11-24T11:30:10.949Z,"28 km ESE of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-11-24T08:31:11.220Z,36.69774246,-97.6839447,0.4947689176,3.58,ml,107,40.53747368,0.2084223926,0.7443611109,ok,ok2024xbxw,2024-11-24T11:03:38.273Z,"9 km ESE of Jefferson, Oklahoma",earthquake,1.331385418,0.9739473351,0.33,65,automatic,ok,ok
2024-11-24T08:22:33.567Z,36.70294952,-97.68439484,0.5686951876,3.56,ml,109,40.65322304,0.2043738514,0.701052246,ok,ok2024xbxp,2024-11-24T08:48:43.499Z,"9 km ESE of Jefferson, Oklahoma",earthquake,1.33028361,0.9748306998,0.3,65,automatic,ok,ok
2024-11-24T07:58:36.396Z,-11.2678,34.751,10,5,mb,44,49,7.529,0.79,us,us6000p7ec,2024-11-24T08:15:31.040Z,"2 km NW of Mbamba Bay, Tanzania",earthquake,6.73,1.62,0.098,33,reviewed,us,us
2024-11-24T05:36:01.200Z,17.9805,-66.9695,6,3.36,md,20,160,0.0755,0.15,pr,pr2024329003,2024-11-24T06:51:54.040Z,"5 km W of Fuig, Puerto Rico",earthquake,0.68,0.54,0.11,12,reviewed,pr,pr
2024-11-24T04:40:07.660Z,19.5068,-65.2723,60,3.57,md,11,277,1.1944,0.24,pr,pr2024329002,2024-11-24T05:12:14.379Z,"133 km N of Culebra, Puerto Rico",earthquake,3.3,9.48,0.19,5,reviewed,pr,pr
2024-11-24T04:00:02.080Z,19.167666666667,-67.389333333333,24.8,3.29,md,15,314,0.7446,0.39,pr,pr71466613,2024-11-24T04:51:01.000Z,"80 km NNW of San Antonio, Puerto Rico",earthquake,1.6,28.28,0.096329328913735,9,reviewed,pr,pr
2024-11-24T02:55:57.329Z,36.69983333,-98.42733333,5.02,2.62,ml,97,106,0,0.21,ok,ok2024xbmv,2024-11-24T04:49:28.505Z,"1 km NNW of Lambert, Oklahoma",earthquake,,0.4,0.27,41,reviewed,ok,ok
2024-11-24T02:41:18.072Z,-21.0606,-71.0877,10,4.1,mb,20,193,0.906,0.61,us,us6000p7cy,2024-11-24T03:15:56.040Z,"131 km SW of La Tirana, Chile",earthquake,4.24,1.78,0.233,5,reviewed,us,us
2024-11-24T01:53:52.520Z,19.278166666667,-64.5245,28.81,3.33,md,13,300,0.8582,0.4,pr,pr71466583,2024-11-24T02:50:26.530Z,"108 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,3.37,27.96,0.12566382277682,8,reviewed,pr,pr
2024-11-24T01:50:00.890Z,19.249,-64.5216,37,3.77,md,19,298,0.8396,0.45,pr,pr2024329001,2024-11-24T02:31:07.040Z,"105 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,4.42,18.61,0.13,14,reviewed,pr,pr
2024-11-24T01:48:01.219Z,40.1477,42.9845,10,4.2,mb,23,75,0.991,1.06,us,us6000p7cs,2024-11-24T02:28:22.040Z,"12 km W of Kağızman, Turkey",earthquake,3.9,1.944,0.166,10,reviewed,us,us
2024-11-24T01:36:44.092Z,-7.5928,127.8447,170.601,4.9,mb,39,42,3.674,0.75,us,us6000p7cq,2024-11-24T02:10:19.040Z,"138 km NE of Lospalos, Timor Leste",earthquake,10.08,6.263,0.106,29,reviewed,us,us
2024-11-24T01:11:52.821Z,54.4158,-159.7562,35,3.2,ml,27,210,1.024,0.62,us,us6000p7cj,2024-11-24T01:41:25.040Z,"113 km SSE of Sand Point, Alaska",earthquake,4.05,2.003,0.077,22,reviewed,us,us
2024-11-24T01:08:03.465Z,-23.3857,-114.9926,10,5,mb,38,80,41.634,0.59,us,us6000p7cn,2024-11-24T01:37:21.040Z,"Easter Island region",earthquake,13.81,1.847,0.068,70,reviewed,us,us
2024-11-24T00:56:04.420Z,-2.4093,-78.2509,113.814,4.3,mb,24,96,0.938,0.49,us,us6000p7cc,2024-11-24T01:16:34.040Z,"10 km WNW of Sucúa, Ecuador",earthquake,5.87,8.333,0.147,13,reviewed,us,us
2024-11-24T00:34:43.800Z,19.4645,-65.2691,63,3.73,md,15,277,1.1527,0.28,pr,pr2024329000,2024-11-24T01:25:17.667Z,"128 km N of Culebra, Puerto Rico",earthquake,3.44,9.05,0.1,9,reviewed,pr,pr
2024-11-23T23:55:55.293Z,-55.4557,158.3179,10,5.1,mb,29,96,1.025,0.73,us,us6000p7c2,2024-11-24T00:12:00.040Z,"Macquarie Island region",earthquake,9.1,1.825,0.119,23,reviewed,us,us
2024-11-23T23:45:10.370Z,19.5685,-65.2951,62,3.8,md,9,265,1.2599,0.22,pr,pr2024328005,2024-11-24T01:07:04.465Z,"138 km NNE of Vieques, Puerto Rico",earthquake,3.22,10.97,0.05,4,reviewed,pr,pr
2024-11-23T23:36:25.270Z,19.6223,-65.2943,9,3.57,md,17,252,1.3116,0.3,pr,pr2024328006,2024-11-24T06:24:33.040Z,"144 km NNE of Vieques, Puerto Rico",earthquake,2.18,3.33,0.21,14,reviewed,pr,pr
2024-11-23T23:33:20.310Z,19.6045,-65.2933,37,3.58,md,10,252,1.297,0.17,pr,pr2024328004,2024-11-24T01:03:28.209Z,"142 km NNE of Vieques, Puerto Rico",earthquake,1.85,13.71,0.04,3,reviewed,pr,pr
